REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
"Region1","IMP_DSL","CO2",1,2018,111.747095071392
"Region1","IMP_DSL","CO2",1,2019,115.872695717454
"Region1","IMP_DSL","CO2",1,2020,119.719394932447
"Region1","IMP_DSL","CO2",1,2021,123.984606044828
"Region1","IMP_DSL","CO2",1,2022,128.023426348957
"Region1","IMP_DSL","CO2",1,2023,132.343177870359
"Region1","IMP_DSL","CO2",1,2024,138.6034480142
"Region1","IMP_DSL","CO2",1,2025,145.174578646923
"Region1","IMP_DSL","CO2",1,2026,152.072771908056
"Region1","IMP_DSL","CO2",1,2027,159.315118918785
"Region1","IMP_DSL","CO2",1,2028,166.919651129262
"Region1","IMP_DSL","CO2",1,2029,174.905395278431
"Region1","IMP_DSL","CO2",1,2030,183.292431321951
"Region1","IMP_DSL","CO2",1,2031,192.101954248991
"Region1","IMP_DSL","CO2",1,2032,201.356339625141
"Region1","IMP_DSL","CO2",1,2033,211.197873267737
"Region1","IMP_DSL","CO2",1,2034,222.144860101189
"Region1","IMP_DSL","CO2",1,2035,233.705638766703
"Region1","IMP_GSL","CO2",1,2018,49.9988835009875
"Region1","IMP_GSL","CO2",1,2019,52.3863652254299
"Region1","IMP_GSL","CO2",1,2020,54.8878508820624
"Region1","IMP_GSL","CO2",1,2021,57.5087842274133
"Region1","IMP_GSL","CO2",1,2022,60.2548689748365
"Region1","IMP_GSL","CO2",1,2023,63.1320812099319
"Region1","IMP_GSL","CO2",1,2024,66.1466823116771
"Region1","IMP_GSL","CO2",1,2025,69.3052327414118
"Region1","IMP_GSL","CO2",1,2026,72.6146061802678
"Region1","IMP_GSL","CO2",1,2027,76.082004531006
"Region1","IMP_GSL","CO2",1,2028,79.7149735480874
"Region1","IMP_GSL","CO2",1,2029,83.5214194140674
"Region1","IMP_GSL","CO2",1,2030,87.5096257109105
"Region1","IMP_GSL","CO2",1,2031,91.6882716790712
"Region1","IMP_GSL","CO2",1,2032,96.0664508973616
"Region1","IMP_GSL","CO2",1,2033,100.653691232484
"Region1","IMP_GSL","CO2",1,2034,105.459975550794
"Region1","IMP_GSL","CO2",1,2035,110.495763269476
"Region1","IMP_KER","CO2",1,2018,11.2908665541341
"Region1","IMP_KER","CO2",1,2019,11.9314033202101
"Region1","IMP_KER","CO2",1,2020,12.6105935715688
"Region1","IMP_KER","CO2",1,2021,13.3308638283367
"Region1","IMP_KER","CO2",1,2022,14.0947971711075
"Region1","IMP_KER","CO2",1,2023,14.905142622396
"Region1","IMP_KER","CO2",1,2024,15.7648249102989
"Region1","IMP_KER","CO2",1,2025,16.676962193096
"Region1","IMP_KER","CO2",1,2026,17.6448650370189
"Region1","IMP_KER","CO2",1,2027,18.672067858877
"Region1","IMP_KER","CO2",1,2028,19.7623284324511
"Region1","IMP_KER","CO2",1,2029,20.9196459045462
"Region1","IMP_KER","CO2",1,2030,22.1482831977962
"Region1","IMP_KER","CO2",1,2031,23.4527782938591
"Region1","IMP_KER","CO2",1,2032,24.8379564621739
"Region1","IMP_KER","CO2",1,2033,26.3089699508032
"Region1","IMP_KER","CO2",1,2034,27.8712904592218
"Region1","IMP_KER","CO2",1,2035,29.5307583045367
"Region1","IMP_LPG","CO2",1,2018,20.6778459177588
"Region1","IMP_LPG","CO2",1,2019,21.4161463780218
"Region1","IMP_LPG","CO2",1,2020,22.1824017734582
"Region1","IMP_LPG","CO2",1,2021,22.9777941652651
"Region1","IMP_LPG","CO2",1,2022,23.8035646344043
"Region1","IMP_LPG","CO2",1,2023,24.6610168877042
"Region1","IMP_LPG","CO2",1,2024,25.5515210058105
"Region1","IMP_LPG","CO2",1,2025,26.4765175580634
"Region1","IMP_LPG","CO2",1,2026,27.4375218703923
"Region1","IMP_LPG","CO2",1,2027,28.4361287695524
"Region1","IMP_LPG","CO2",1,2028,29.4740175154624
"Region1","IMP_LPG","CO2",1,2029,30.5529571270338
"Region1","IMP_LPG","CO2",1,2030,31.6748121641501
"Region1","IMP_LPG","CO2",1,2031,32.8415488075411
"Region1","IMP_LPG","CO2",1,2032,34.0552415073775
"Region1","IMP_LPG","CO2",1,2033,35.318079985541
"Region1","IMP_LPG","CO2",1,2034,36.6323768544445
"Region1","IMP_LPG","CO2",1,2035,38.0005757365508
"Region1","MIN_BIO","CO2",1,2018,238.40410558608
"Region1","MIN_BIO","CO2",1,2019,247.274630836887
"Region1","MIN_BIO","CO2",1,2020,256.491350479157
"Region1","MIN_BIO","CO2",1,2021,266.068740152731
"Region1","MIN_BIO","CO2",1,2022,276.021939728526
"Region1","MIN_BIO","CO2",1,2023,286.366787142853
"Region1","MIN_BIO","CO2",1,2024,297.119854441996
"Region1","MIN_BIO","CO2",1,2025,308.298486255427
"Region1","MIN_BIO","CO2",1,2026,319.920839598929
"Region1","MIN_BIO","CO2",1,2027,332.00592702375
"Region1","MIN_BIO","CO2",1,2028,364.798526527065
"Region1","MIN_BIO","CO2",1,2029,377.307967987701
"Region1","MIN_BIO","CO2",1,2030,390.249145482706
"Region1","MIN_BIO","CO2",1,2031,403.832240239705
"Region1","MIN_BIO","CO2",1,2032,418.081276737524
"Region1","MIN_BIO","CO2",1,2033,428.294702403817
"Region1","MIN_BIO","CO2",1,2034,443.924593753265
"Region1","MIN_BIO","CO2",1,2035,457.591753086726
"Region1","MIN_COA","CO2",1,2018,316.347908872077
"Region1","MIN_COA","CO2",1,2019,341.60489172204
"Region1","MIN_COA","CO2",1,2020,371.555465835908
"Region1","MIN_COA","CO2",1,2021,398.024405755476
"Region1","MIN_COA","CO2",1,2022,427.945891339596
"Region1","MIN_COA","CO2",1,2023,460.241923494303
"Region1","MIN_COA","CO2",1,2024,483.160869091402
"Region1","MIN_COA","CO2",1,2025,504.70460710534
"Region1","MIN_COA","CO2",1,2026,548.920527806595
"Region1","MIN_COA","CO2",1,2027,596.919515129723
"Region1","MIN_COA","CO2",1,2028,625.336859799001
"Region1","MIN_COA","CO2",1,2029,661.962075046014
"Region1","MIN_COA","CO2",1,2030,706.232755335515
"Region1","MIN_COA","CO2",1,2031,751.089518850764
"Region1","MIN_COA","CO2",1,2032,796.713684109773
"Region1","MIN_COA","CO2",1,2033,843.053702067429
"Region1","MIN_COA","CO2",1,2034,890.137403535515
"Region1","MIN_COA","CO2",1,2035,937.915975466667
"Region1","MIN_NGS","CO2",1,2018,70.000224028087
"Region1","MIN_NGS","CO2",1,2019,72.1432544831399
"Region1","MIN_NGS","CO2",1,2020,74.3818585890088
"Region1","MIN_NGS","CO2",1,2021,76.7364326799599
"Region1","MIN_NGS","CO2",1,2022,79.213100087929
"Region1","MIN_NGS","CO2",1,2023,81.8183142904869
"Region1","MIN_NGS","CO2",1,2024,84.558877200494
"Region1","MIN_NGS","CO2",1,2025,87.4419584522797
"Region1","MIN_NGS","CO2",1,2026,90.4751157806259
"Region1","MIN_NGS","CO2",1,2027,93.6663165811696
"Region1","MIN_NGS","CO2",1,2028,97.8930230626683
"Region1","MIN_NGS","CO2",1,2029,106.216928823074
"Region1","MIN_NGS","CO2",1,2030,109.529197874755
"Region1","MIN_NGS","CO2",1,2031,109.529197874755
"Region1","MIN_NGS","CO2",1,2032,112.303493999147
"Region1","MIN_NGS","CO2",1,2033,116.636256820647
"Region1","MIN_NGS","CO2",1,2034,121.196395973531
"Region1","MIN_NGS","CO2",1,2035,125.996097480377
"Region1","MIN_OIL","CO2",1,2018,6.618405151926
"Region1","MIN_OIL","CO2",1,2019,6.888939742656
"Region1","MIN_OIL","CO2",1,2020,7.170532732224
"Region1","MIN_OIL","CO2",1,2021,7.463636145144
"Region1","MIN_OIL","CO2",1,2022,7.76872048518
"Region1","MIN_OIL","CO2",1,2023,8.08627547916001
"Region1","MIN_OIL","CO2",1,2024,8.41681088658
"Region1","MIN_OIL","CO2",1,2025,8.76085728444
"Region1","MIN_OIL","CO2",1,2026,9.11896696818
"Region1","MIN_OIL","CO2",1,2027,9.49171477212
"Region1","MIN_OIL","CO2",1,2028,9.87969905244001
"Region1","MIN_OIL","CO2",1,2029,10.28354261598
"Region1","MIN_OIL","CO2",1,2030,10.70389373418
"Region1","MIN_OIL","CO2",1,2031,11.14142716476
"Region1","MIN_OIL","CO2",1,2032,11.59684525854
"Region1","MIN_OIL","CO2",1,2033,12.07087906626
"Region1","MIN_OIL","CO2",1,2034,12.5642895228
"Region1","MIN_OIL","CO2",1,2035,13.07786867784
